"birthyr","gender4","educ","race","region"
1992,1,6,1,2
1957,1,3,1,1
1978,2,5,1,1
1991,3,6,1,1
1991,1,6,1,3
1955,1,5,7,1
1968,2,2,2,3
1947,1,6,1,3
1947,2,5,1,1
1950,1,6,1,3
1949,2,5,2,3
1969,2,6,1,3
1961,2,5,2,3
1965,2,4,6,4
1974,1,6,1,1
1988,2,6,3,3
1978,2,4,1,2
1998,1,3,1,4
1981,2,3,2,3
1961,2,3,3,2
1985,1,6,1,4
1957,1,2,1,3
1968,1,5,1,1
1986,2,6,1,1
1948,1,5,1,4
1977,1,5,1,3
1981,2,6,2,1
1964,2,3,2,3
1973,1,6,1,4
1968,1,5,1,1
1957,1,3,1,3
1985,1,5,1,4
1988,2,5,1,4
1939,1,4,1,4
1956,1,1,1,4
1989,2,2,1,4
1982,2,1,1,1
1983,2,3,1,3
1990,2,2,1,2
1970,2,4,1,1
1959,2,5,1,2
1972,2,2,1,3
1978,2,2,1,3
1969,1,5,1,2
1967,1,5,5,4
1959,2,2,1,3
1989,2,4,3,3
1968,2,4,1,4
1972,2,5,3,3
1943,1,3,6,4
1953,1,3,1,3
1961,1,3,1,4
1950,1,4,1,3
1978,2,5,1,1
1943,1,3,1,3
1986,2,2,1,2
1989,2,4,1,3
1998,2,5,1,3
1970,2,6,1,3
1990,2,5,2,3
1968,2,3,1,3
1957,2,2,2,3
1998,2,4,1,2
1989,2,4,3,2
1949,1,5,1,2
1987,2,3,1,3
1997,2,3,5,3
1951,2,2,2,3
1968,2,5,1,2
1933,2,2,1,4
1964,2,2,1,2
1988,3,2,6,3
1963,2,6,1,1
1982,2,6,4,3
1952,2,3,1,4
1947,2,3,2,3
1987,2,4,1,3
1989,2,3,1,4
1974,1,3,1,3
1976,2,4,1,4
1960,1,4,1,2
1965,2,6,1,4
1997,1,5,3,2
1950,2,2,1,2
1976,1,4,1,3
1961,1,4,1,3
1958,1,2,1,4
1967,1,4,1,1
1951,2,4,3,3
1949,1,4,1,3
1967,1,4,7,3
1955,2,3,6,3
1968,2,5,1,3
1967,1,3,1,4
1987,2,5,1,3
1999,1,2,6,4
1990,1,1,1,1
1993,2,6,1,3
1980,1,4,1,2
1983,2,1,1,1
1969,1,5,1,2
1948,2,2,1,4
1969,2,5,1,2
1957,2,3,1,4
1939,2,2,1,3
1958,1,3,1,4
1964,2,3,1,1
1963,1,6,2,1
2001,1,3,2,3
1970,2,6,1,3
1958,1,4,1,2
1994,2,6,2,3
1949,2,3,1,3
1999,2,6,4,1
1976,2,4,1,3
1997,2,5,1,3
1957,2,4,1,2
2001,1,3,1,3
1955,1,2,1,2
1966,1,2,1,1
1938,1,4,3,4
1983,1,4,1,3
1949,1,6,1,3
1996,2,4,1,1
1969,2,6,7,2
1956,2,3,1,3
1957,2,3,2,3
1974,2,6,7,1
1997,2,2,2,3
1996,1,2,1,2
1951,2,4,1,2
1948,1,6,1,4
1970,1,3,3,3
1962,2,3,1,2
1952,2,2,1,2
1997,2,1,1,2
1999,2,1,2,4
1963,2,3,6,1
2000,2,3,8,4
1944,2,2,1,3
1998,2,5,1,2
1954,2,6,1,4
1959,1,5,1,4
1956,2,2,1,3
1965,1,5,1,4
1959,1,5,1,4
1954,1,2,1,4
1992,2,4,1,3
1956,1,6,2,3
1969,2,2,2,3
1999,2,2,1,2
1946,2,2,1,2
1959,2,3,1,2
1942,1,2,1,3
1943,1,2,1,4
1960,2,6,3,3
1970,2,4,1,2
1946,1,3,3,3
1951,1,3,3,3
1963,1,6,1,2
1947,1,5,1,2
1961,2,2,2,4
1997,2,3,8,1
1955,1,6,2,4
1958,2,5,1,1
1989,2,3,2,1
1971,2,5,1,2
1991,1,5,1,3
1978,2,3,1,3
1971,1,2,1,3
1983,2,5,1,2
1965,2,1,2,4
1995,2,5,1,3
1951,1,2,1,4
1931,2,5,1,3
1993,2,5,3,4
1945,1,2,1,1
1949,2,5,1,3
1964,1,5,1,4
1946,2,5,1,4
2003,2,3,3,4
1988,2,5,4,3
1981,1,3,1,3
1968,2,2,1,3
1961,2,5,1,2
1990,1,2,1,1
1991,1,5,1,1
1980,2,5,2,1
1971,2,5,1,2
1995,2,5,1,3
1998,1,2,5,4
1979,1,5,1,3
1951,2,5,1,4
1981,2,4,1,4
1987,1,5,2,3
1965,2,5,1,1
1951,2,5,1,2
1966,2,4,1,2
1965,2,2,2,3
1994,2,2,3,3
1961,2,3,3,4
1978,2,4,2,3
1961,3,4,1,1
1955,2,2,1,1
1956,2,6,1,1
1970,2,6,1,4
1991,2,2,7,2
1996,2,5,3,1
1996,2,5,8,3
1984,2,3,6,3
1992,1,4,1,3
1971,1,6,1,3
1963,1,6,1,4
1976,2,1,1,3
1964,2,3,2,3
1989,1,3,1,4
1958,1,4,1,4
